Report Number,Report DateTime,Offense Parent Group,Offense,Offense Code,MCPP,Longitude,Latitude,Year,Month,Day,Hour,Minute,Location,Zipcode
2020-354230,12/27/2020 08:51:09 AM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,QUEEN ANNE,-122.340164663,47.62792521,2020.0,12.0,27.0,0.0,0.0,"Project Management Academy Seattle, 925, Westlake Avenue North, Westlake, Seattle, King County, Washington, 98109, United States",98109
2020-928195,12/19/2020 09:02:21 AM,LARCENY-THEFT,All Other Larceny,23H,CAPITOL HILL,-122.327853519,47.61849674,2020.0,12.0,10.0,8.0,0.0,"314, East Denny Way, First Hill, Seattle, King County, Washington, 98122, United States",98122
2020-357745,12/31/2020 06:27:54 PM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,MAGNOLIA,-122.376154128,47.63965592,2020.0,12.0,22.0,0.0,1.0,"2233, 15th Avenue West, Interbay, Queen Anne, Seattle, King County, Washington, 98119, United States",98119
2020-357745,12/31/2020 06:27:54 PM,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,MAGNOLIA,-122.376154128,47.63965592,2020.0,12.0,22.0,0.0,1.0,"2233, 15th Avenue West, Interbay, Queen Anne, Seattle, King County, Washington, 98119, United States",98119
2020-357337,12/31/2020 08:12:39 AM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,NORTH ADMIRAL,-122.386736586,47.57631007,2020.0,12.0,30.0,17.0,0.0,"McDonald's, 3003, California Avenue Southwest, Admiral, West Seattle, Seattle, King County, Washington, 98116, United States",98116
2020-357303,12/31/2020 07:37:12 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,FIRST HILL,-122.320739896,47.6026933,2020.0,12.0,31.0,5.0,32.0,"910, East Fir Street, Little Saigon, Yesler Terrace, Seattle, King County, Washington, 98122, United States",98122
2020-929076,12/30/2020 02:22:32 PM,LARCENY-THEFT,Theft From Motor Vehicle,23F,MOUNT BAKER,-122.287198081,47.57067833,2020.0,12.0,30.0,2.0,0.0,"3636, Courtland Place South, Mount Baker, Seattle, King County, Washington, 98144, United States",98144
2020-929043,12/30/2020 12:52:12 PM,LARCENY-THEFT,Theft From Motor Vehicle,23F,QUEEN ANNE,-122.360651933,47.62137325,2020.0,12.0,28.0,16.0,30.0,"350, 3rd Avenue West, Uptown, Belltown, Seattle, King County, Washington, 98119, United States",98119
2020-929027,12/30/2020 11:22:31 AM,LARCENY-THEFT,All Other Larceny,23H,MORGAN,-122.387224671,47.54397488,2020.0,12.0,27.0,2.0,0.0,"6525, California Avenue Southwest, Morgan Junction, Seattle, King County, Washington, 98136, United States",98136
2020-929021,12/30/2020 11:12:37 AM,LARCENY-THEFT,All Other Larceny,23H,CAPITOL HILL,-122.319381174,47.62312361,2020.0,12.0,27.0,23.0,0.0,"1004, East Republican Street, Capitol Hill, Seattle, King County, Washington, 98102, United States",98102
2020-929023,12/30/2020 11:12:29 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,NORTH BEACON HILL,-122.313356657,47.57819322,2020.0,12.0,28.0,15.0,35.0,"2814, 15th Avenue South, Beacon Hill, Seattle, King County, Washington, 98144, United States",98144
2020-929020,12/30/2020 11:12:14 AM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,GREENWOOD,-122.35931241,47.68911169,2020.0,12.0,27.0,12.0,50.0,"131, Northwest 83rd Street, Crown Hill, Greenwood, Seattle, King County, Washington, 98117, United States",98117
2020-929013,12/30/2020 10:22:49 AM,LARCENY-THEFT,All Other Larceny,23H,UNIVERSITY,-122.302931732,47.65300203,2020.0,12.0,26.0,16.0,30.0,"University of Washington, Snohomish Lane, University District, Seattle, King County, Washington, 98195-2350, United States",98195-2350
2020-929009,12/30/2020 10:22:18 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,MAGNOLIA,-122.392985892,47.64058275,2020.0,12.0,26.0,6.0,0.0,"Magnolia Elementary School, 2418, 28th Avenue West, Southeast Magnolia, Magnolia, Seattle, King County, Washington, 98199, United States",98199
2020-929008,12/30/2020 10:12:40 AM,LARCENY-THEFT,Theft From Motor Vehicle,23F,ROOSEVELT/RAVENNA,-122.336230189,47.6854232,2020.0,12.0,28.0,20.0,0.0,"USPS, Stroud Avenue North, Green Lake, Seattle, King County, Washington, 98103, United States",98103
2020-929007,12/30/2020 10:12:29 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,DOWNTOWN COMMERCIAL,-122.336128721,47.61044597,2020.0,12.0,26.0,7.0,0.0,"Fourth and Pike Building, Pike Street, Central Business District, Belltown, Seattle, King County, Washington, 98101, United States",98101
2020-928996,12/30/2020 08:02:24 AM,LARCENY-THEFT,Theft From Motor Vehicle,23F,BALLARD SOUTH,-122.37489634,47.67162969,2020.0,12.0,27.0,12.0,15.0,"1426, Northwest 59th Street, Sunset Hill, Ballard, Seattle, King County, Washington, 98107, United States",98107
2020-928992,12/30/2020 07:42:17 AM,LARCENY-THEFT,Theft From Motor Vehicle,23F,LAKECITY,-122.282710509,47.72469252,2020.0,12.0,26.0,0.0,0.0,"13205, 42nd Avenue Northeast, Cedar Park, Lake City, Seattle, King County, Washington, 98125, United States",98125
2020-928984,12/30/2020 07:02:27 AM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,GREENWOOD,-122.355300767,47.6887515,2020.0,12.0,27.0,12.0,55.0,"8208, Greenwood Avenue North, Greenwood, Seattle, King County, Washington, 98103, United States",98103
2020-928983,12/30/2020 07:02:18 AM,LARCENY-THEFT,Theft From Motor Vehicle,23F,SANDPOINT,-122.27415789,47.6958838,2020.0,12.0,28.0,14.0,0.0,"4919, Northeast 93rd Street, Lavilla, Seattle, King County, Washington, 98115, United States",98115
2020-928982,12/30/2020 06:52:28 AM,LARCENY-THEFT,All Other Larceny,23H,NORTHGATE,-122.316245571,47.69309314,2020.0,12.0,28.0,17.0,10.0,"1032, Northeast 89th Street, Maple Leaf, Seattle, King County, Washington, 98115, United States",98115
2020-928976,12/30/2020 06:12:12 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,UNIVERSITY,-122.316346543,47.66401972,2020.0,12.0,27.0,0.0,10.0,"Audi Seattle, 4741;4705, 11th Avenue Northeast, University District, Seattle, King County, Washington, 98105, United States",98105
2020-356463,12/30/2020 05:33:53 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,FIRST HILL,-122.326435563,47.61245118,2020.0,12.0,30.0,4.0,8.0,"Union Park, Minor Avenue, First Hill, Seattle, King County, Washington, 98191, United States",98191
